Item #,*Designator,*Qty,*Mfg Part #,Description / Value,*Package/Footprint,*Unit Price(1 set),*Total,*Delivery Time,*PCBWay Note,Customer Reply,PCBWay Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"C4, C5, C6, C10, C11, C12, C13, C14, C15, C16, C17, C20, C21",13,CL03A104KP3NNNC,100nF,201,$0.126,$1.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"C8, C9",2,CL05A105KP5NNNC,1uF,402,$0.655,$1.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"C1, C2, C3",3,CL10A106KP8NNNC,10uF,603,$0.242,$0.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"C22, C23",2,CL10C150JB8NNNC,15pF,603,$0.277,$0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"R3, R4",2,0402WGF1001TCE,1 kOhm,402,$0.164,$0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"R5, R6",2,0402WGF270JTCE,27 Ohm,402,$0.164,$0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"R7, R8",2,0402WGJ0473TCE,47 kOhm,402,$0.164,$0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,R9,1,0603WAF100JT5E,10 Ohm,603,$0.221,$0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,U3,1,TLV75533PDBVR,Low Voltage Dropout,SOT-23-5,$0.282,$0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Y2,1,Q24FA20H00687,12MHZ Crystal,SMD2520-4P,$0.564,$0.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,J2,1,480372100,Male USB A,USB A Molex 48037-2200 Horizontal,$0.966,$0.966,,"The quoted part number is [480372100], not [48037-2200] as specified in description",No problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,U1,1,RP2040,RP2040,LQFN-56 (7x7),$1.328,$1.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,U2,1,W25Q128JVSIQ,16MB Flash Storage,SOIC-8-208mil,$2.355,$2.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Component Cost,$10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Assembly Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PCB Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,V1ÿMemberÿ1%ÿoff,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
